,Date,Day_of_Week,Time_Slot,Route_ID,Route_Name,Bus_ID,Driver_ID,Bus_Type,Total_Seats,Seats_Booked,Occupancy_Rate (%),Ticket_Price,Revenue_Per_Trip,Fuel_Consumption_Liters,Fuel_Efficiency_KMPL,Maintenance_Status,Last_Service_Date,Breakdown_Incidents,Disruption_Likelihood,Risk_Score,Delay_Probability,Expense_Per_Trip,Profit_Per_Trip,Weather,Festival_Season,Holiday,Special_Event,Avg_Travel_Time (mins),Delay_Mins,Start_Desitination,End_Destination,Distance_KM
949,20-03-2024,Wednesday,Morning,140,Ahmedabad-Vadodara,GJ01-Express-359,D491,AC,50,38,76,200,7600,7.54,5.8,Good,04-06-2024,3,0.35,High,0.61,5802,1798,Foggy,1,0,IPL Match,253,14,Ahmedabad,Vadodara,147
950,30-05-2024,Thursday,Morning,127,Surat-Rajkot,GJ03-Express-316,D410,Non-AC,50,32,64,300,9600,10.03,4.66,Good,30-04-2024,3,0.18,Low,0.77,5033,4567,Rainy,0,0,,121,24,Surat,Rajkot,112
951,25-05-2024,Saturday,Afternoon,373,Ahmedabad-Vadodara,GJ02-Express-170,D157,Sleeper,40,27,67.5,150,4050,6.65,4.9,Good,10-04-2024,3,0.61,Medium,0.21,3848,202,Rainy,1,0,Festival Season,142,11,Ahmedabad,Vadodara,199
952,29-02-2024,Thursday,Morning,268,Gandhinagar-Bhavnagar,GJ09-AC-148,D218,AC,60,21,35,200,4200,10.28,5.9,Needs Repair,08-02-2024,0,0.77,High,0.15,3559,641,Clear,1,1,IPL Match,238,11,Gandhinagar,Bhavnagar,188
953,18-03-2024,Monday,Night,257,Gandhinagar-Bhavnagar,GJ07-Sleeper-471,D169,AC,40,20,50,250,5000,7.22,5.17,Needs Repair,20-06-2024,3,0.59,High,0.35,4392,608,Rainy,0,0,IPL Match,202,9,Gandhinagar,Bhavnagar,235
954,02-05-2024,Thursday,Morning,333,Gandhinagar-Bhavnagar,GJ04-Non-AC-248,D357,Non-AC,60,57,95,150,8550,7.13,5.63,Needs Repair,16-02-2024,3,0.42,Low,0.44,6590,1960,Foggy,0,1,,222,9,Gandhinagar,Bhavnagar,234
955,30-04-2024,Tuesday,Morning,277,Gandhinagar-Bhavnagar,GJ08-AC-307,D253,Non-AC,60,52,86.67,300,15600,6.8,5.3,Good,28-06-2024,3,0.43,Low,0.18,6086,9514,Rainy,1,0,,221,16,Gandhinagar,Bhavnagar,53
956,25-04-2024,Thursday,Night,212,Ahmedabad-Vadodara,GJ07-Express-399,D246,AC,40,41,102.5,300,12300,6.51,5.84,Needs Repair,09-05-2024,2,0.43,Medium,0.11,3272,9028,Rainy,1,1,Festival Season,288,11,Ahmedabad,Vadodara,184
957,15-02-2024,Thursday,Night,163,Gandhinagar-Bhavnagar,GJ03-Non-AC-323,D399,Non-AC,50,36,72,200,7200,10.37,4.77,Needs Repair,09-06-2024,1,0.31,High,0.62,6470,730,Foggy,0,0,IPL Match,237,22,Gandhinagar,Bhavnagar,110
958,17-04-2024,Wednesday,Morning,255,Surat-Rajkot,GJ02-Express-276,D433,Non-AC,60,51,85,200,10200,8.17,5.69,Good,14-05-2024,0,0.85,High,0.74,4584,5616,Rainy,1,1,IPL Match,232,22,Surat,Rajkot,156
959,27-03-2024,Wednesday,Night,297,Ahmedabad-Vadodara,GJ02-Express-413,D480,Express,60,60,100,150,9000,6.99,4.09,Needs Repair,09-06-2024,1,0.26,High,0.18,3157,5843,Rainy,1,0,Festival Season,147,30,Ahmedabad,Vadodara,103
960,17-06-2024,Monday,Afternoon,429,Gandhinagar-Bhavnagar,GJ09-Sleeper-433,D288,Non-AC,60,41,68.33,150,6150,9.98,4.85,Needs Repair,24-05-2024,0,0.3,Low,0.33,4039,2111,Clear,0,0,Navratri,128,27,Gandhinagar,Bhavnagar,137
961,24-01-2024,Wednesday,Morning,408,Surat-Rajkot,GJ01-Sleeper-445,D406,Express,40,42,105,250,10500,7.14,4.75,Good,14-03-2024,0,0.49,Medium,0.68,6541,3959,Foggy,1,1,Festival Season,216,15,Surat,Rajkot,117
962,04-01-2024,Thursday,Night,116,Vadodara-Surat,GJ02-Non-AC-119,D284,AC,60,36,60,150,5400,7.13,5.31,Good,09-06-2024,1,0.45,Low,0.64,5620,-220,Clear,1,0,,160,25,Vadodara,Surat,178
963,25-03-2024,Monday,Morning,106,Surat-Rajkot,GJ06-Sleeper-413,D125,Express,60,46,76.67,250,11500,8.31,5.55,Needs Repair,27-02-2024,3,0.71,Low,0.59,3975,7525,Rainy,1,0,Festival Season,161,9,Surat,Rajkot,104
964,20-03-2024,Wednesday,Night,273,Gandhinagar-Bhavnagar,GJ08-Sleeper-169,D384,Sleeper,40,26,65,250,6500,8.89,4.45,Needs Repair,17-05-2024,0,0.8,High,0.31,6310,190,Rainy,0,1,Navratri,135,3,Gandhinagar,Bhavnagar,52
965,01-01-2024,Monday,Afternoon,465,Vadodara-Surat,GJ04-AC-232,D140,Express,40,52,130,250,13000,8.66,4.86,Needs Repair,04-06-2024,2,0.3,Low,0.58,6537,6463,Foggy,1,1,Navratri,243,28,Vadodara,Surat,215
966,13-04-2024,Saturday,Night,184,Ahmedabad-Vadodara,GJ09-Express-477,D250,Sleeper,50,20,40,150,3000,8.92,4.28,Good,21-04-2024,3,0.19,Medium,0.78,4928,-1928,Rainy,0,1,Festival Season,171,0,Ahmedabad,Vadodara,170
967,18-03-2024,Monday,Morning,460,Ahmedabad-Vadodara,GJ02-Non-AC-254,D258,AC,40,49,122.5,300,14700,8.2,4.19,Good,23-02-2024,2,0.43,Low,0.46,6298,8402,Rainy,1,0,,295,9,Ahmedabad,Vadodara,178
968,21-03-2024,Thursday,Night,288,Surat-Rajkot,GJ05-Non-AC-177,D400,AC,50,55,110,250,13750,8.04,5.64,Good,24-04-2024,3,0.63,High,0.42,4597,9153,Foggy,0,0,Festival Season,268,17,Surat,Rajkot,151
969,24-01-2024,Wednesday,Afternoon,406,Surat-Rajkot,GJ08-AC-278,D482,Express,40,44,110,250,11000,10.39,5.79,Good,03-05-2024,3,0.39,High,0.33,3916,7084,Clear,1,1,,239,27,Surat,Rajkot,87
970,25-01-2024,Thursday,Morning,138,Surat-Rajkot,GJ07-Sleeper-132,D262,AC,50,41,82,150,6150,9.81,4.69,Good,24-02-2024,1,0.45,High,0.4,3657,2493,Clear,1,0,IPL Match,206,29,Surat,Rajkot,134
971,20-06-2024,Thursday,Night,415,Vadodara-Surat,GJ01-Sleeper-335,D255,Express,50,47,94,150,7050,7.89,5.19,Good,15-01-2024,0,0.87,Medium,0.14,5013,2037,Rainy,0,1,IPL Match,198,23,Vadodara,Surat,206
972,12-03-2024,Tuesday,Afternoon,253,Surat-Rajkot,GJ05-Sleeper-275,D429,Non-AC,60,53,88.33,300,15900,7.11,4.14,Needs Repair,28-06-2024,3,0.56,Low,0.16,6198,9702,Clear,0,1,Navratri,291,11,Surat,Rajkot,182
973,25-04-2024,Thursday,Afternoon,242,Surat-Rajkot,GJ04-Express-349,D316,Express,60,49,81.67,150,7350,9.63,4.37,Needs Repair,31-01-2024,3,0.69,Medium,0.12,3218,4132,Clear,1,0,Navratri,229,20,Surat,Rajkot,141
974,17-05-2024,Friday,Afternoon,307,Vadodara-Surat,GJ09-Non-AC-197,D304,AC,50,39,78,300,11700,7.19,5.1,Needs Repair,25-05-2024,3,0.3,Medium,0.65,5744,5956,Foggy,0,1,Festival Season,194,29,Vadodara,Surat,70
975,29-02-2024,Thursday,Night,483,Surat-Rajkot,GJ06-Non-AC-298,D382,AC,60,45,75,250,11250,8.55,4.6,Needs Repair,14-03-2024,2,0.69,High,0.69,5863,5387,Rainy,1,0,,290,8,Surat,Rajkot,248
976,22-05-2024,Wednesday,Night,472,Vadodara-Surat,GJ02-Non-AC-360,D400,Non-AC,60,49,81.67,300,14700,7.61,5.14,Needs Repair,16-03-2024,3,0.62,Low,0.53,4500,10200,Clear,1,0,IPL Match,169,23,Vadodara,Surat,244
977,31-03-2024,Sunday,Night,288,Ahmedabad-Vadodara,GJ06-AC-478,D249,AC,40,50,125,300,15000,6.5,4.27,Good,01-06-2024,0,0.35,High,0.16,3410,11590,Foggy,1,0,Navratri,232,12,Ahmedabad,Vadodara,158
978,24-06-2024,Monday,Afternoon,147,Vadodara-Surat,GJ07-Non-AC-496,D135,Non-AC,50,28,56,250,7000,9.5,4.15,Needs Repair,03-03-2024,2,0.87,High,0.79,6238,762,Foggy,0,0,Navratri,159,11,Vadodara,Surat,96
979,06-04-2024,Saturday,Night,328,Gandhinagar-Bhavnagar,GJ04-Express-210,D495,AC,60,51,85,300,15300,6.82,4.17,Good,18-06-2024,0,0.13,Low,0.5,5954,9346,Clear,0,1,IPL Match,182,2,Gandhinagar,Bhavnagar,133
980,29-01-2024,Monday,Morning,161,Gandhinagar-Bhavnagar,GJ01-Sleeper-364,D334,Sleeper,50,60,120,250,15000,9.54,5.55,Good,17-04-2024,3,0.87,Low,0.75,5420,9580,Clear,1,0,Navratri,130,29,Gandhinagar,Bhavnagar,132
981,17-02-2024,Saturday,Night,341,Ahmedabad-Vadodara,GJ07-Express-406,D467,AC,40,57,142.5,250,14250,7.96,5.27,Needs Repair,03-03-2024,0,0.81,High,0.65,4198,10052,Rainy,1,0,Festival Season,165,3,Ahmedabad,Vadodara,84
982,04-06-2024,Tuesday,Afternoon,430,Surat-Rajkot,GJ08-Sleeper-452,D277,Sleeper,40,53,132.5,200,10600,8.7,5.6,Good,09-05-2024,1,0.46,High,0.41,3866,6734,Rainy,0,1,,300,16,Surat,Rajkot,245
983,22-04-2024,Monday,Afternoon,165,Vadodara-Surat,GJ03-Non-AC-444,D452,Non-AC,50,57,114,250,14250,9.48,4.82,Good,29-04-2024,3,0.4,Medium,0.59,3767,10483,Foggy,1,1,IPL Match,269,20,Vadodara,Surat,118
984,22-05-2024,Wednesday,Morning,470,Ahmedabad-Vadodara,GJ01-Non-AC-197,D350,Non-AC,40,56,140,250,14000,8.49,4.17,Good,29-06-2024,0,0.41,Medium,0.27,6579,7421,Foggy,1,1,,236,6,Ahmedabad,Vadodara,178
985,24-01-2024,Wednesday,Afternoon,475,Ahmedabad-Vadodara,GJ02-AC-179,D253,Non-AC,60,31,51.67,150,4650,8.44,5,Needs Repair,01-05-2024,2,0.68,Medium,0.6,6882,-2232,Foggy,0,1,IPL Match,230,30,Ahmedabad,Vadodara,245
986,04-02-2024,Sunday,Night,460,Ahmedabad-Vadodara,GJ01-Express-146,D396,AC,40,25,62.5,200,5000,8.09,5.95,Good,06-02-2024,2,0.6,Low,0.78,3672,1328,Clear,0,1,IPL Match,252,27,Ahmedabad,Vadodara,189
987,09-05-2024,Thursday,Afternoon,278,Gandhinagar-Bhavnagar,GJ04-Non-AC-308,D234,Non-AC,50,47,94,150,7050,9.85,4.8,Needs Repair,11-02-2024,0,0.41,Medium,0.7,5079,1971,Rainy,0,1,Festival Season,122,13,Gandhinagar,Bhavnagar,237
988,11-02-2024,Sunday,Afternoon,353,Ahmedabad-Vadodara,GJ03-Sleeper-196,D241,Express,60,40,66.67,200,8000,9.07,5.35,Needs Repair,17-05-2024,0,0.64,High,0.12,4434,3566,Clear,1,0,IPL Match,218,8,Ahmedabad,Vadodara,76
989,03-01-2024,Wednesday,Afternoon,101,Ahmedabad-Vadodara,GJ05-Non-AC-149,D349,Express,40,34,85,250,8500,6.59,4.1,Needs Repair,09-03-2024,3,0.49,Low,0.26,5083,3417,Rainy,1,0,Navratri,162,20,Ahmedabad,Vadodara,105
990,13-05-2024,Monday,Night,275,Gandhinagar-Bhavnagar,GJ04-Express-373,D100,Sleeper,40,25,62.5,300,7500,6.85,4.93,Needs Repair,10-03-2024,3,0.59,High,0.33,3712,3788,Clear,0,1,IPL Match,196,8,Gandhinagar,Bhavnagar,72
991,02-05-2024,Thursday,Morning,402,Ahmedabad-Vadodara,GJ02-AC-432,D125,Express,40,29,72.5,300,8700,9.02,4.12,Needs Repair,08-04-2024,1,0.33,Medium,0.75,3254,5446,Foggy,0,0,,136,12,Ahmedabad,Vadodara,202
992,08-01-2024,Monday,Morning,430,Vadodara-Surat,GJ01-Non-AC-156,D108,AC,60,30,50,300,9000,9.46,5.56,Needs Repair,16-02-2024,1,0.52,Low,0.44,6260,2740,Foggy,0,0,Navratri,226,19,Vadodara,Surat,70
993,08-05-2024,Wednesday,Night,259,Surat-Rajkot,GJ02-Express-206,D296,AC,60,58,96.67,300,17400,8.29,4.44,Good,08-03-2024,0,0.63,High,0.73,6970,10430,Clear,0,0,,187,25,Surat,Rajkot,110
994,14-05-2024,Tuesday,Morning,300,Vadodara-Surat,GJ04-Non-AC-297,D192,Sleeper,50,26,52,200,5200,9.62,5.95,Needs Repair,17-05-2024,2,0.72,Medium,0.43,5117,83,Foggy,0,0,Navratri,258,9,Vadodara,Surat,112
995,10-02-2024,Saturday,Night,247,Vadodara-Surat,GJ06-Express-366,D350,AC,40,50,125,150,7500,8.72,5.17,Needs Repair,02-01-2024,1,0.7,Low,0.1,5388,2112,Clear,0,1,Festival Season,212,12,Vadodara,Surat,171
996,19-02-2024,Monday,Afternoon,277,Ahmedabad-Vadodara,GJ02-Express-108,D167,Express,50,59,118,300,17700,10.19,4.19,Needs Repair,03-05-2024,3,0.84,High,0.77,4879,12821,Foggy,1,1,Navratri,140,17,Ahmedabad,Vadodara,101
997,25-06-2024,Tuesday,Afternoon,465,Vadodara-Surat,GJ02-AC-200,D344,Non-AC,60,49,81.67,250,12250,8.78,5.18,Good,05-01-2024,0,0.34,High,0.33,4479,7771,Rainy,0,1,,274,19,Vadodara,Surat,137
998,17-01-2024,Wednesday,Morning,407,Ahmedabad-Vadodara,GJ04-Sleeper-437,D314,Express,40,60,150,300,18000,10.17,4.31,Good,16-06-2024,3,0.4,Medium,0.19,3566,14434,Clear,0,1,IPL Match,144,15,Ahmedabad,Vadodara,202
999,04-04-2024,Thursday,Morning,185,Ahmedabad-Vadodara,GJ08-Sleeper-226,D160,Express,40,42,105,150,6300,7.02,4.5,Good,01-06-2024,2,0.24,High,0.38,4169,2131,Rainy,0,1,IPL Match,300,5,Ahmedabad,Vadodara,104
1000,15-02-2024,Thursday,Morning,391,Ahmedabad-Vadodara,GJ04-Sleeper-317,D244,Express,40,34,85,300,10200,7.58,4.41,Needs Repair,23-03-2024,0,0.33,Low,0.27,6731,3469,Clear,1,0,Festival Season,248,4,Ahmedabad,Vadodara,95
1001,09-05-2024,Thursday,Afternoon,297,Vadodara-Surat,GJ08-Sleeper-470,D400,AC,60,43,71.67,300,12900,9.72,4.34,Good,02-05-2024,3,0.24,Medium,0.14,5546,7354,Rainy,0,1,IPL Match,251,12,Vadodara,Surat,81
1002,24-03-2024,Sunday,Morning,440,Gandhinagar-Bhavnagar,GJ01-Non-AC-123,D308,AC,50,39,78,150,5850,9.96,5.32,Needs Repair,02-03-2024,0,0.7,Medium,0.23,6908,-1058,Clear,1,1,Navratri,229,18,Gandhinagar,Bhavnagar,104
1003,14-05-2024,Tuesday,Afternoon,470,Surat-Rajkot,GJ07-Express-397,D363,AC,40,35,87.5,150,5250,8.31,5.29,Good,23-05-2024,0,0.84,High,0.1,4944,306,Foggy,0,0,Navratri,191,15,Surat,Rajkot,145
1004,21-06-2024,Friday,Afternoon,429,Gandhinagar-Bhavnagar,GJ05-Sleeper-151,D130,Non-AC,40,33,82.5,200,6600,6.99,4.51,Needs Repair,08-06-2024,2,0.53,High,0.22,6658,-58,Foggy,1,1,Festival Season,186,11,Gandhinagar,Bhavnagar,182
1005,19-04-2024,Friday,Night,335,Surat-Rajkot,GJ02-AC-246,D441,Express,50,50,100,250,12500,10.38,5.41,Good,11-05-2024,2,0.74,Low,0.15,6740,5760,Clear,0,1,Festival Season,163,8,Surat,Rajkot,85
1006,05-04-2024,Friday,Night,437,Ahmedabad-Vadodara,GJ04-Sleeper-132,D146,Non-AC,50,24,48,250,6000,7.37,5.87,Needs Repair,21-06-2024,3,0.84,High,0.4,6262,-262,Clear,1,1,IPL Match,187,10,Ahmedabad,Vadodara,159
1007,28-03-2024,Thursday,Afternoon,219,Ahmedabad-Vadodara,GJ01-Sleeper-132,D178,Non-AC,60,56,93.33,300,16800,8.64,5.9,Good,24-04-2024,2,0.13,Low,0.31,6659,10141,Rainy,1,0,Navratri,243,22,Ahmedabad,Vadodara,226
1008,12-03-2024,Tuesday,Morning,479,Ahmedabad-Vadodara,GJ03-Non-AC-130,D209,Sleeper,50,47,94,250,11750,8.15,5.89,Needs Repair,15-02-2024,2,0.69,High,0.68,5456,6294,Foggy,1,1,,300,24,Ahmedabad,Vadodara,155
1009,28-01-2024,Sunday,Night,199,Ahmedabad-Vadodara,GJ02-Non-AC-490,D387,Express,60,53,88.33,150,7950,10.43,4.44,Needs Repair,13-05-2024,2,0.87,Medium,0.72,4833,3117,Clear,1,1,,202,20,Ahmedabad,Vadodara,107
1010,11-03-2024,Monday,Night,238,Ahmedabad-Vadodara,GJ09-Express-302,D401,Sleeper,60,32,53.33,200,6400,9.18,5.58,Needs Repair,12-04-2024,0,0.17,Low,0.11,6928,-528,Rainy,0,0,Navratri,130,0,Ahmedabad,Vadodara,88
1011,17-06-2024,Monday,Morning,389,Surat-Rajkot,GJ04-Express-406,D190,AC,50,34,68,300,10200,8.86,4.7,Needs Repair,03-06-2024,1,0.22,Low,0.63,6032,4168,Clear,0,0,Festival Season,280,18,Surat,Rajkot,129
1012,20-03-2024,Wednesday,Morning,482,Ahmedabad-Vadodara,GJ04-Non-AC-126,D248,Sleeper,50,45,90,200,9000,6.7,5.27,Good,19-01-2024,1,0.76,Medium,0.32,3699,5301,Rainy,0,1,IPL Match,273,0,Ahmedabad,Vadodara,146
1013,22-05-2024,Wednesday,Morning,251,Ahmedabad-Vadodara,GJ03-Sleeper-293,D345,Non-AC,50,25,50,150,3750,8.08,5.87,Needs Repair,27-04-2024,2,0.54,Medium,0.44,5582,-1832,Clear,0,1,Festival Season,279,22,Ahmedabad,Vadodara,162
1014,10-05-2024,Friday,Night,380,Gandhinagar-Bhavnagar,GJ02-Express-206,D360,Express,40,22,55,300,6600,8.91,5.34,Good,14-01-2024,2,0.67,Medium,0.6,5596,1004,Rainy,1,1,,229,21,Gandhinagar,Bhavnagar,110
1015,05-04-2024,Friday,Afternoon,112,Vadodara-Surat,GJ06-AC-422,D409,Sleeper,40,35,87.5,200,7000,10.39,5.28,Needs Repair,13-06-2024,1,0.42,High,0.21,5364,1636,Clear,1,1,Festival Season,199,21,Vadodara,Surat,186
1016,31-01-2024,Wednesday,Night,289,Vadodara-Surat,GJ04-Sleeper-195,D387,AC,40,45,112.5,150,6750,7.89,4.49,Good,02-02-2024,2,0.84,High,0.36,3069,3681,Rainy,0,1,,136,4,Vadodara,Surat,55
1017,07-02-2024,Wednesday,Morning,466,Vadodara-Surat,GJ04-Sleeper-486,D361,Express,60,50,83.33,150,7500,9.46,4.13,Good,13-04-2024,0,0.85,Medium,0.69,4050,3450,Foggy,1,1,Festival Season,146,7,Vadodara,Surat,158
1018,04-05-2024,Saturday,Morning,302,Vadodara-Surat,GJ05-Sleeper-498,D499,Sleeper,50,32,64,150,4800,9.83,5.48,Good,06-03-2024,1,0.15,High,0.32,3951,849,Foggy,1,0,,253,30,Vadodara,Surat,84
1019,03-02-2024,Saturday,Morning,211,Surat-Rajkot,GJ04-Express-442,D305,Sleeper,50,20,40,250,5000,9.78,4.45,Good,19-02-2024,1,0.31,High,0.79,3606,1394,Rainy,1,0,IPL Match,138,14,Surat,Rajkot,88
1020,12-01-2024,Friday,Morning,205,Gandhinagar-Bhavnagar,GJ04-Express-238,D279,Sleeper,40,57,142.5,200,11400,6.72,4.54,Needs Repair,22-01-2024,3,0.9,High,0.42,5008,6392,Foggy,1,1,Navratri,255,27,Gandhinagar,Bhavnagar,199
1021,05-03-2024,Tuesday,Morning,127,Gandhinagar-Bhavnagar,GJ02-Express-293,D126,Express,50,39,78,250,9750,8.36,5.65,Needs Repair,22-02-2024,2,0.88,High,0.52,5956,3794,Clear,0,0,Festival Season,243,18,Gandhinagar,Bhavnagar,218
1022,23-02-2024,Friday,Afternoon,304,Vadodara-Surat,GJ01-AC-353,D471,Sleeper,60,22,36.67,200,4400,9.07,4.25,Good,26-01-2024,3,0.22,Low,0.35,6243,-1843,Foggy,0,1,IPL Match,246,2,Vadodara,Surat,167
1023,26-06-2024,Wednesday,Night,266,Ahmedabad-Vadodara,GJ09-Express-311,D354,AC,50,51,102,150,7650,7.12,4.58,Needs Repair,14-01-2024,0,0.38,Low,0.24,4111,3539,Rainy,1,1,,154,30,Ahmedabad,Vadodara,54
1024,27-06-2024,Thursday,Morning,216,Vadodara-Surat,GJ01-Express-275,D344,Sleeper,40,26,65,150,3900,9.63,4.33,Needs Repair,31-01-2024,3,0.7,Low,0.33,6051,-2151,Foggy,1,1,Navratri,279,29,Vadodara,Surat,219
1025,07-04-2024,Sunday,Night,222,Surat-Rajkot,GJ08-Sleeper-184,D256,Sleeper,50,55,110,300,16500,9.16,4.51,Good,11-01-2024,2,0.59,Low,0.53,3341,13159,Clear,1,1,,201,25,Surat,Rajkot,136
1026,24-01-2024,Wednesday,Night,371,Ahmedabad-Vadodara,GJ08-Express-329,D162,Non-AC,60,41,68.33,250,10250,7.42,5.99,Needs Repair,02-02-2024,3,0.87,Low,0.37,3455,6795,Rainy,1,0,Navratri,180,27,Ahmedabad,Vadodara,125
1027,07-04-2024,Sunday,Morning,357,Surat-Rajkot,GJ08-Express-141,D428,Non-AC,60,33,55,150,4950,9.57,4.73,Good,19-01-2024,3,0.11,Low,0.75,6718,-1768,Clear,0,0,Festival Season,231,15,Surat,Rajkot,244
1028,27-04-2024,Saturday,Morning,217,Surat-Rajkot,GJ07-Sleeper-300,D395,Non-AC,50,57,114,200,11400,10,5.21,Needs Repair,18-01-2024,2,0.81,Low,0.41,5752,5648,Foggy,0,0,IPL Match,233,24,Surat,Rajkot,207
1029,28-01-2024,Sunday,Morning,136,Gandhinagar-Bhavnagar,GJ03-AC-302,D358,Sleeper,50,42,84,150,6300,8.04,5.12,Good,31-03-2024,1,0.2,Low,0.7,6049,251,Clear,1,1,Festival Season,205,20,Gandhinagar,Bhavnagar,106
1030,09-05-2024,Thursday,Afternoon,122,Surat-Rajkot,GJ03-AC-256,D205,AC,50,53,106,200,10600,9.33,4.51,Needs Repair,10-01-2024,2,0.34,Low,0.25,4907,5693,Clear,1,0,Festival Season,253,21,Surat,Rajkot,176
1031,26-02-2024,Monday,Afternoon,123,Gandhinagar-Bhavnagar,GJ02-AC-241,D479,Sleeper,40,59,147.5,300,17700,9.65,5.96,Good,18-02-2024,0,0.39,Low,0.34,6170,11530,Rainy,0,0,Festival Season,294,10,Gandhinagar,Bhavnagar,78
1032,28-06-2024,Friday,Night,445,Surat-Rajkot,GJ01-Non-AC-211,D162,Express,50,36,72,300,10800,9.05,4.06,Good,08-05-2024,0,0.28,High,0.67,4280,6520,Foggy,0,0,IPL Match,131,2,Surat,Rajkot,214
1033,23-05-2024,Thursday,Night,451,Gandhinagar-Bhavnagar,GJ02-Sleeper-314,D224,Sleeper,40,52,130,300,15600,10.46,4.07,Good,13-01-2024,3,0.35,Medium,0.27,6570,9030,Rainy,1,0,Festival Season,272,1,Gandhinagar,Bhavnagar,136
1034,01-01-2024,Monday,Afternoon,302,Ahmedabad-Vadodara,GJ08-AC-156,D474,Express,50,48,96,300,14400,7.2,4.19,Good,06-01-2024,0,0.28,Medium,0.2,3185,11215,Rainy,1,0,IPL Match,154,25,Ahmedabad,Vadodara,190
1035,23-06-2024,Sunday,Night,193,Surat-Rajkot,GJ09-AC-324,D433,Sleeper,40,38,95,250,9500,8,4.25,Needs Repair,19-02-2024,1,0.85,Medium,0.64,6908,2592,Foggy,0,0,,156,2,Surat,Rajkot,209
1036,30-01-2024,Tuesday,Night,241,Gandhinagar-Bhavnagar,GJ06-Sleeper-413,D444,Sleeper,40,22,55,150,3300,9.61,5.45,Needs Repair,18-04-2024,0,0.3,High,0.79,3907,-607,Foggy,1,0,IPL Match,167,10,Gandhinagar,Bhavnagar,95
1037,10-06-2024,Monday,Night,149,Surat-Rajkot,GJ07-AC-433,D360,Express,40,33,82.5,250,8250,9.04,4.9,Good,05-03-2024,2,0.67,Medium,0.1,5245,3005,Foggy,1,0,Festival Season,210,5,Surat,Rajkot,165
1038,29-03-2024,Friday,Morning,132,Surat-Rajkot,GJ09-Non-AC-108,D495,AC,60,49,81.67,150,7350,10.08,4.23,Good,24-06-2024,2,0.55,Medium,0.76,4747,2603,Rainy,0,1,Navratri,160,4,Surat,Rajkot,161
1039,18-02-2024,Sunday,Afternoon,207,Vadodara-Surat,GJ08-Non-AC-429,D259,Non-AC,60,26,43.33,150,3900,8.57,5.16,Good,10-05-2024,1,0.81,Medium,0.46,5321,-1421,Rainy,0,1,,263,29,Vadodara,Surat,200
1040,12-05-2024,Sunday,Night,342,Gandhinagar-Bhavnagar,GJ08-AC-350,D447,Express,40,39,97.5,300,11700,6.91,5.37,Needs Repair,11-04-2024,3,0.75,High,0.36,4628,7072,Rainy,0,0,Navratri,169,3,Gandhinagar,Bhavnagar,94
1041,03-02-2024,Saturday,Afternoon,431,Surat-Rajkot,GJ09-Non-AC-461,D414,Express,50,53,106,200,10600,7.94,4.72,Needs Repair,14-04-2024,3,0.68,Medium,0.39,5477,5123,Foggy,0,0,Navratri,147,17,Surat,Rajkot,194
1042,19-03-2024,Tuesday,Night,313,Gandhinagar-Bhavnagar,GJ03-Non-AC-475,D244,Sleeper,50,33,66,200,6600,9.59,5.16,Needs Repair,24-06-2024,2,0.53,Low,0.56,3395,3205,Rainy,0,0,Navratri,249,11,Gandhinagar,Bhavnagar,153
1043,18-05-2024,Saturday,Afternoon,415,Ahmedabad-Vadodara,GJ01-AC-208,D207,AC,60,30,50,150,4500,7.89,4.16,Good,06-01-2024,0,0.67,Low,0.23,5041,-541,Foggy,1,1,,169,3,Ahmedabad,Vadodara,134
1044,26-03-2024,Tuesday,Night,497,Ahmedabad-Vadodara,GJ07-AC-113,D380,Sleeper,60,38,63.33,250,9500,7.55,4.26,Needs Repair,27-04-2024,3,0.62,High,0.44,4317,5183,Clear,1,1,,151,28,Ahmedabad,Vadodara,243
1045,12-05-2024,Sunday,Morning,170,Surat-Rajkot,GJ03-Non-AC-272,D268,Express,50,45,90,150,6750,8.62,5.11,Good,15-02-2024,3,0.8,Medium,0.46,6941,-191,Clear,0,1,Navratri,230,18,Surat,Rajkot,183
1046,09-04-2024,Tuesday,Afternoon,210,Ahmedabad-Vadodara,GJ09-Express-220,D123,AC,60,20,33.33,150,3000,8.49,4.9,Good,08-02-2024,0,0.58,Low,0.48,6996,-3996,Rainy,1,1,Navratri,254,3,Ahmedabad,Vadodara,157
1047,06-01-2024,Saturday,Night,238,Vadodara-Surat,GJ04-Express-157,D353,AC,40,38,95,200,7600,7.83,4.23,Good,19-02-2024,2,0.26,Medium,0.5,5462,2138,Foggy,1,0,IPL Match,135,8,Vadodara,Surat,67
1048,19-01-2024,Friday,Morning,163,Surat-Rajkot,GJ06-Express-424,D324,Express,50,21,42,300,6300,8.85,5.82,Good,13-01-2024,0,0.69,Medium,0.58,5036,1264,Clear,1,0,Festival Season,293,16,Surat,Rajkot,143
1049,27-06-2024,Thursday,Afternoon,197,Surat-Rajkot,GJ03-AC-274,D269,Non-AC,50,34,68,250,8500,9.98,4.19,Needs Repair,04-04-2024,0,0.52,High,0.48,4773,3727,Foggy,1,0,,135,22,Surat,Rajkot,199
